Date,SALES_PH,SALES_TU,
5/22/2017,112,99,245
5/29/2017,111,93,246
6/5/2017,112,88,247
6/12/2017,111,93,248
6/19/2017,111,92,249
6/26/2017,113,94,250
7/3/2017,114,87,251
7/10/2017,114,80,252
7/17/2017,113,88,253
7/24/2017,114,103,254
7/31/2017,111,96,255
8/7/2017,112,84,256
8/14/2017,110,95,257
8/21/2017,113,102,258
8/28/2017,110,101,259
9/4/2017,110,97,260
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
